Fragment Size,Count,Range,Group,BAM File
495,5,200-500,Plasma,C2-57-plasma.bam
468,5,200-500,Plasma,C2-57-plasma.bam
341,5,200-500,Plasma,C2-57-plasma.bam
247,5,200-500,Plasma,C2-57-plasma.bam
467,5,200-500,Plasma,C2-57-plasma.bam
464,5,200-500,Plasma,C2-57-plasma.bam
334,5,200-500,Plasma,C2-57-plasma.bam
2306657,5,>1000,Plasma,C2-57-plasma.bam
2306635,5,>1000,Plasma,C2-57-plasma.bam
478,5,200-500,Plasma,C2-57-plasma.bam
332,5,200-500,Plasma,C2-57-plasma.bam
699362,5,>1000,Plasma,C2-57-plasma.bam
113247,5,>1000,Plasma,C2-57-plasma.bam
320,5,200-500,Plasma,C2-57-plasma.bam
113225,5,>1000,Plasma,C2-57-plasma.bam
4918990,5,>1000,Plasma,C2-57-plasma.bam
458,5,200-500,Plasma,C2-57-plasma.bam
476,5,200-500,Plasma,C2-57-plasma.bam
11800926,5,>1000,Plasma,C2-57-plasma.bam
324143,5,>1000,Plasma,C2-57-plasma.bam
113260,5,>1000,Plasma,C2-57-plasma.bam
113257,5,>1000,Plasma,C2-57-plasma.bam
301,5,200-500,Plasma,C2-57-plasma.bam
7875,5,>1000,Plasma,C2-57-plasma.bam
399,5,200-500,Plasma,C2-57-plasma.bam
490516,5,>1000,Plasma,C2-57-plasma.bam
28,5,100-200,Plasma,C2-57-plasma.bam
15,5,100-200,Plasma,C2-57-plasma.bam
29,5,100-200,Plasma,C2-57-plasma.bam
439,5,200-500,Plasma,C2-57-plasma.bam
303,5,200-500,Plasma,C2-57-plasma.bam
509,5,500-1000,Plasma,C2-57-plasma.bam
481,5,200-500,Plasma,C2-57-plasma.bam
258,5,200-500,Plasma,C2-57-plasma.bam
765418,5,>1000,Plasma,C2-57-plasma.bam
23,5,100-200,Plasma,C2-57-plasma.bam
406548,5,>1000,Plasma,C2-57-plasma.bam
512,5,500-1000,Plasma,C2-57-plasma.bam
282,5,200-500,Plasma,C2-57-plasma.bam
17,5,100-200,Plasma,C2-57-plasma.bam
251,5,200-500,Plasma,C2-57-plasma.bam
277,5,200-500,Plasma,C2-57-plasma.bam
24,4,100-200,Plasma,C2-57-plasma.bam
283,4,200-500,Plasma,C2-57-plasma.bam
6,4,100-200,Plasma,C2-57-plasma.bam
4,4,100-200,Plasma,C2-57-plasma.bam
390,4,200-500,Plasma,C2-57-plasma.bam
260,4,200-500,Plasma,C2-57-plasma.bam
11492035,4,>1000,Plasma,C2-57-plasma.bam
508,4,500-1000,Plasma,C2-57-plasma.bam
354,4,200-500,Plasma,C2-57-plasma.bam
11800912,4,>1000,Plasma,C2-57-plasma.bam
113253,4,>1000,Plasma,C2-57-plasma.bam
113270,4,>1000,Plasma,C2-57-plasma.bam
1908,4,>1000,Plasma,C2-57-plasma.bam
504,4,500-1000,Plasma,C2-57-plasma.bam
11801036,4,>1000,Plasma,C2-57-plasma.bam
11800864,4,>1000,Plasma,C2-57-plasma.bam
413,4,200-500,Plasma,C2-57-plasma.bam
11800897,4,>1000,Plasma,C2-57-plasma.bam
259,4,200-500,Plasma,C2-57-plasma.bam
21516849,4,>1000,Plasma,C2-57-plasma.bam
21517005,4,>1000,Plasma,C2-57-plasma.bam
11800934,4,>1000,Plasma,C2-57-plasma.bam
3364142,4,>1000,Plasma,C2-57-plasma.bam
461,4,200-500,Plasma,C2-57-plasma.bam
3028533,4,>1000,Plasma,C2-57-plasma.bam
13120,4,>1000,Plasma,C2-57-plasma.bam
11800932,4,>1000,Plasma,C2-57-plasma.bam
428,4,200-500,Plasma,C2-57-plasma.bam
484,4,200-500,Plasma,C2-57-plasma.bam
457,4,200-500,Plasma,C2-57-plasma.bam
513,4,500-1000,Plasma,C2-57-plasma.bam
11800901,4,>1000,Plasma,C2-57-plasma.bam
11800914,4,>1000,Plasma,C2-57-plasma.bam
419,4,200-500,Plasma,C2-57-plasma.bam
292,4,200-500,Plasma,C2-57-plasma.bam
1955277,4,>1000,Plasma,C2-57-plasma.bam
8,4,100-200,Plasma,C2-57-plasma.bam
516,4,500-1000,Plasma,C2-57-plasma.bam
264,4,200-500,Plasma,C2-57-plasma.bam
1971,4,>1000,Plasma,C2-57-plasma.bam
515,4,500-1000,Plasma,C2-57-plasma.bam
